node,t,T,H,x,y
1,78,22.79,38.27,4.775989265258891,5.528700000000079
1,79,24.01,37.16,4.775989265258891,5.528700000000079
1,80,23.85,34.87,4.775989265258891,5.528700000000079
1,81,23.8,43.72,4.775989265258891,5.528700000000079
1,82,24.76,42.01,4.775989265258891,5.528700000000079
1,83,23.59,39.94,4.775989265258891,5.528700000000079
1,84,23.84,39.73,4.775989265258891,5.528700000000079
1,85,25.9,39.21,4.775989265258891,5.528700000000079
1,86,25.59,44.11,4.775989265258891,5.528700000000079
1,87,25.22,55.72,4.775989265258891,5.528700000000079
1,88,27.15,54.45,4.775989265258891,5.528700000000079
1,89,25.52,58.4,4.775989265258891,5.528700000000079
1,90,25.12,46.48,4.775989265258891,5.528700000000079
1,91,23.0,41.54,4.775989265258891,5.528700000000079
1,92,24.06,36.51,4.775989265258891,5.528700000000079
1,93,27.0,32.96,4.775989265258891,5.528700000000079
1,94,25.77,34.29,4.775989265258891,5.528700000000079
1,95,25.21,35.5,4.775989265258891,5.528700000000079
1,96,24.88,32.83,4.775989265258891,5.528700000000079
1,97,26.23,28.6,4.775989265258891,5.528700000000079
1,98,26.86,27.87,4.775989265258891,5.528700000000079
1,99,27.71,24.89,4.775989265258891,5.528700000000079
1,100,27.88,27.82,4.775989265258891,5.528700000000079
1,101,28.57,31.2,4.775989265258891,5.528700000000079
1,102,28.84,31.28,4.775989265258891,5.528700000000079
1,103,29.01,35.48,4.775989265258891,5.528700000000079
1,104,24.93,53.64,4.775989265258891,5.528700000000079
1,105,27.64,46.9,4.775989265258891,5.528700000000079
1,106,27.71,43.33,4.775989265258891,5.528700000000079
1,107,26.18,40.37,4.775989265258891,5.528700000000079
1,108,29.2,32.53,4.775989265258891,5.528700000000079
1,109,28.9,33.57,4.775989265258891,5.528700000000079
1,110,26.99,45.68,4.775989265258891,5.528700000000079
1,111,28.38,38.9,4.775989265258891,5.528700000000079
1,112,28.83,33.72,4.775989265258891,5.528700000000079
1,113,28.77,35.69,4.775989265258891,5.528700000000079
1,114,28.33,34.54,4.775989265258891,5.528700000000079
1,115,30.27,32.7,4.775989265258891,5.528700000000079
1,116,31.92,28.37,4.775989265258891,5.528700000000079
1,117,29.79,37.42,4.775989265258891,5.528700000000079
1,118,29.44,36.24,4.775989265258891,5.528700000000079
1,119,25.35,47.82,4.775989265258891,5.528700000000079
1,120,26.27,39.21,4.775989265258891,5.528700000000079
1,121,24.02,36.91,4.775989265258891,5.528700000000079
2,0,11.82,65.78,9.551978530516426,11.057400000000158
2,1,11.26,64.19,9.551978530516426,11.057400000000158
2,2,13.13,51.39,9.551978530516426,11.057400000000158
2,3,12.45,50.52,9.551978530516426,11.057400000000158
2,4,12.36,52.52,9.551978530516426,11.057400000000158
2,5,11.33,56.08,9.551978530516426,11.057400000000158
2,6,11.75,56.02,9.551978530516426,11.057400000000158
2,7,12.68,51.13,9.551978530516426,11.057400000000158
2,8,12.07,56.51,9.551978530516426,11.057400000000158
2,9,10.35,62.5,9.551978530516426,11.057400000000158
2,10,10.05,59.46,9.551978530516426,11.057400000000158
2,11,10.84,56.28,9.551978530516426,11.057400000000158
2,12,12.71,49.98,9.551978530516426,11.057400000000158
2,13,10.86,51.55,9.551978530516426,11.057400000000158
2,14,11.36,48.53,9.551978530516426,11.057400000000158
2,15,12.98,44.96,9.551978530516426,11.057400000000158
2,16,12.66,51.74,9.551978530516426,11.057400000000158
